
id season_id game_number date home_team visiting_team home_goal_count visiting_goal_count periods overtime shootout status game_status venue_name venue_location attendance
46 1 45 2024-03-06T19:00:00-05:00 4 3 3 4 3 0 0 4 Final Total Mortgage Arena Bridgeport, Connecticut 728
47 1 46 2024-03-08T19:00:00-05:00 6 3 3 0 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2554
48 1 47 2024-03-10T15:00:00-04:00 1 4 3 2 4 1 0 4 Final OT Tsongas Center Lowell, Massachusetts 4607
49 1 48 2024-03-10T16:00:00-04:00 3 5 2 4 3 0 0 4 Final Place Bell Laval, Québec 10172
50 1 49 2024-03-13T19:00:00-05:00 2 1 4 0 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 4669
51 1 50 2024-03-16T14:30:00-05:00 2 4 5 1 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 9006
52 1 53 2024-03-20T19:00:00-04:00 6 1 2 1 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2525
53 1 54 2024-03-20T19:00:00-04:00 4 5 0 3 3 0 0 4 Final Total Mortgage Arena Bridgeport, Connecticut 1702
54 1 55 2024-03-23T13:00:00-04:00 5 6 5 3 3 0 0 4 Final TD Place Ottawa, Ontario 8448
55 1 56 2024-03-24T15:00:00-05:00 2 3 3 2 4 1 1 4 Final SO Xcel Energy Center Saint Paul, Minnesota 7268
56 1 57 2024-03-25T19:00:00-04:00 4 1 3 2 3 0 0 4 Final UBS Arena Elmont, New York 2834
57 1 58 2024-04-18T19:00:00-04:00 1 6 2 1 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 4084
58 1 59 2024-04-18T19:00:00-04:00 3 2 4 3 3 0 0 4 Final Verdun Auditorium Montréal, Québec 3084
59 1 60 2024-04-20T19:00:00-04:00 5 2 4 0 3 0 0 4 Final TD Place Ottawa, Ontario 8110
60 1 64 2024-04-24T19:00:00-04:00 3 4 5 2 3 0 0 4 Final Verdun Auditorium Montréal, Québec 3232
61 1 65 2024-04-28T13:00:00-04:00 4 6 2 6 3 0 0 4 Final UBS Arena Elmont, New York 1668
62 1 67 2024-04-27T12:30:00-04:00 5 3 0 2 3 0 0 4 Final TD Place Ottawa, Ontario 8452
63 1 69 2024-05-01T19:00:00-04:00 6 2 4 1 3 0 0 4 Final Mattamy Athletic Centre Toronto, Ontario 2571
